,id,identifier,title,relation,type,subject,language,format,rights,preview
5347,oai:dasi.cnr.it:epi:5416,"['DASI:epi-5416', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5416']",TC 991,DASI:obj-5416,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=182&sessId=&size=med
5348,oai:dasi.cnr.it:epi:5417,"['DASI:epi-5417', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5417']",TC 992,DASI:obj-5417,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,
5349,oai:dasi.cnr.it:epi:5418,"['DASI:epi-5418', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5418']","['TC 994', 'CSAI I, 187']",DASI:obj-5418,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4993&sessId=&size=med
5350,oai:dasi.cnr.it:epi:5419,"['DASI:epi-5419', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5419']",TC 995,DASI:obj-5419,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=3415&sessId=&size=med
5351,oai:dasi.cnr.it:epi:5420,"['DASI:epi-5420', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5420']","['TC 996', 'CSAI I, 991']",DASI:obj-5420,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2856&sessId=&size=med
5352,oai:dasi.cnr.it:epi:5421,"['DASI:epi-5421', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5421']",TC 997,DASI:obj-5421,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=3380&sessId=&size=med
5353,oai:dasi.cnr.it:epi:5422,"['DASI:epi-5422', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5422']",TC 1001,DASI:obj-5422,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1414&sessId=&size=med
5354,oai:dasi.cnr.it:epi:5423,"['DASI:epi-5423', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5423']",TC 1012,DASI:obj-5423,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=601&sessId=&size=med
5355,oai:dasi.cnr.it:epi:5424,"['DASI:epi-5424', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5424']","['TC 1013', 'CSAI I, 188']",DASI:obj-5424,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=128&sessId=&size=med
5356,oai:dasi.cnr.it:epi:5425,"['DASI:epi-5425', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5425']","['TC 1014', 'CSAI I, 1091']",DASI:obj-5425,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4974&sessId=&size=med
5357,oai:dasi.cnr.it:epi:5426,"['DASI:epi-5426', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5426']",TC 1015+1026+1027,DASI:obj-5426,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2341&sessId=&size=med
5358,oai:dasi.cnr.it:epi:5427,"['DASI:epi-5427', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5427']","['TC 1017', 'CSAI I, 992']",DASI:obj-5427,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1407&sessId=&size=med
5359,oai:dasi.cnr.it:epi:5428,"['DASI:epi-5428', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5428']","['TC 1028', 'CSAI I, 993']",DASI:obj-5428,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1609&sessId=&size=med
5360,oai:dasi.cnr.it:epi:5429,"['DASI:epi-5429', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5429']",TC 1029,DASI:obj-5429,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=5031&sessId=&size=med
5361,oai:dasi.cnr.it:epi:5430,"['DASI:epi-5430', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5430']","['TC 1030', 'CSAI I, 994']",DASI:obj-5430,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1207&sessId=&size=med
5362,oai:dasi.cnr.it:epi:5431,"['DASI:epi-5431', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5431']",TC 1046,DASI:obj-5431,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=5498&sessId=&size=med
5363,oai:dasi.cnr.it:epi:5432,"['DASI:epi-5432', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5432']",TC 1049,DASI:obj-5432,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1158&sessId=&size=med
5364,oai:dasi.cnr.it:epi:5433,"['DASI:epi-5433', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5433']","['TC 1052', 'CSAI I, 995']",DASI:obj-5433,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=29&sessId=&size=med
5365,oai:dasi.cnr.it:epi:5434,"['DASI:epi-5434', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5434']","['TC 1069', 'CSAI I, 996']",DASI:obj-5434,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4804&sessId=&size=med
5366,oai:dasi.cnr.it:epi:5435,"['DASI:epi-5435', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5435']","['TC 1073', 'CSAI I, 997']",DASI:obj-5435,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2222&sessId=&size=med
5367,oai:dasi.cnr.it:epi:5436,"['DASI:epi-5436', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5436']","['TC 1074', 'CSAI I, 998']",DASI:obj-5436,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=286&sessId=&size=med
5368,oai:dasi.cnr.it:epi:5437,"['DASI:epi-5437', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5437']","['TC 1078', 'CSAI I, 999']",DASI:obj-5437,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1852&sessId=&size=med
